arm,band,window,claims,before,after,ci_low,ci_high,offset,drift,nominal_in_ci
tft_raw,80%,validation,0.8,0.7494,0.8727,0.8579,0.886,0.1216,0.0,False
tft_recovered,80%,validation,0.8,0.7378,0.8255,0.8128,0.8376,0.0775,0.0,False
xgb_raw,80%,validation,0.8,0.7758,0.8584,0.8451,0.871,0.0803,0.0,False
xgb_recovered,80%,validation,0.8,0.7395,0.8455,0.828,0.8612,0.0965,0.0,False
tft_raw,95%,validation,0.95,0.9215,0.9826,0.9767,0.9875,0.314,0.0,False
tft_recovered,95%,validation,0.95,0.9179,0.9702,0.9645,0.9753,0.1704,0.0,False
xgb_raw,95%,validation,0.95,0.944,0.9774,0.9718,0.9819,0.1473,0.0,False
xgb_recovered,95%,validation,0.95,0.9193,0.9703,0.9653,0.9749,0.1366,0.0,False
tft_raw,80%,test,0.8,0.6034,0.767,0.7465,0.7828,0.1664,0.03,False
tft_recovered,80%,test,0.8,0.678,0.7913,0.7776,0.8027,0.1132,0.03,True
xgb_raw,80%,test,0.8,0.6478,0.7616,0.7439,0.7751,0.1195,0.03,False
xgb_recovered,80%,test,0.8,0.6427,0.777,0.763,0.7894,0.1324,0.03,False
tft_raw,95%,test,0.95,0.8016,0.9584,0.944,0.9683,0.7397,0.03,True
tft_recovered,95%,test,0.95,0.8577,0.961,0.9496,0.9687,0.5141,0.03,True
xgb_raw,95%,test,0.95,0.8547,0.9539,0.9451,0.96,0.5667,0.03,True
xgb_recovered,95%,test,0.95,0.8494,0.9538,0.9447,0.9602,0.4545,0.03,True
