order at,implied c_u/c_o,ran out %,empty days,demand met %,availability,waste % of demand,waste vs naive %,waste
q0.330,0.49,60.0,WORSE,77.7,WORSE,9.6,56.0,better
q0.400,0.67,50.0,WORSE,82.5,better,13.6,38.0,better
q0.461,0.86,41.7,better,86.0,better,17.7,19.0,better
q0.500,1.0,36.5,better,87.9,better,20.7,6.0,better
q0.513,1.05,34.9,better,88.5,better,21.8,0.0,better
q0.600,1.5,24.3,better,92.2,better,30.5,-39.0,WORSE
q0.667,2.0,17.9,better,94.3,better,37.9,-73.0,WORSE
q0.750,3.0,11.9,better,96.1,better,48.0,-119.0,WORSE
q0.800,4.0,9.3,better,96.9,better,54.3,-148.0,WORSE
q0.900,9.0,5.6,better,98.0,better,67.4,-208.0,WORSE
q0.950,19.0,2.3,better,99.0,better,91.8,-320.0,WORSE
