learning_rate,max_depth,best_round,WAPE,WPE,MAE,pinball(avg),CRPS~,pinball@0.8
0.03,6,430,0.3476,0.0999,0.3563,0.1144,0.2226,0.13598
0.02,5,907,0.3493,0.1049,0.3582,0.1145,0.2229,0.13636
0.03,5,563,0.3491,0.1029,0.358,0.1147,0.2232,0.13593
0.02,6,631,0.3493,0.1045,0.3581,0.1147,0.2232,0.13615
0.05,5,331,0.3501,0.1073,0.3589,0.1148,0.2235,0.13661
0.03,7,335,0.3488,0.1044,0.3576,0.1148,0.2235,0.13622
0.05,6,245,0.3489,0.1045,0.3578,0.1148,0.2234,0.13653
0.02,7,533,0.3491,0.1028,0.3579,0.1149,0.2236,0.13561
0.08,5,263,0.3483,0.101,0.3572,0.1149,0.2237,0.13669
0.08,6,169,0.3474,0.1036,0.3561,0.115,0.2239,0.13691
0.05,7,214,0.3495,0.1029,0.3584,0.1152,0.2241,0.13651
0.08,7,137,0.3484,0.1025,0.3573,0.1152,0.2243,0.13709
