config_id,learning_rate,dropout,encoder_days,weight_decay,WAPE,WPE,MAE,pinball(avg),CRPS~
"{""dropout"": 0.3, ""encoder_days"": 3, ""learning_rate"": 0.01, ""weight_decay"": 0.0001}",0.01,0.3,3,0.0001,0.3151,0.0405,0.322,0.1031,0.2006
"{""dropout"": 0.3, ""encoder_days"": 7, ""learning_rate"": 0.01, ""weight_decay"": 0.0001}",0.01,0.3,7,0.0001,0.3212,0.0788,0.329,0.1055,0.2054
"{""dropout"": 0.3, ""encoder_days"": 3, ""learning_rate"": 0.005, ""weight_decay"": 0.0001}",0.005,0.3,3,0.0001,0.3212,0.0835,0.3289,0.1055,0.2054
"{""dropout"": 0.2, ""encoder_days"": 7, ""learning_rate"": 0.01, ""weight_decay"": 0.0001}",0.01,0.2,7,0.0001,0.3237,0.092,0.3312,0.1063,0.2068
"{""dropout"": 0.2, ""encoder_days"": 5, ""learning_rate"": 0.01, ""weight_decay"": 0.0001}",0.01,0.2,5,0.0001,0.3258,0.0927,0.3338,0.1063,0.2069
"{""dropout"": 0.2, ""encoder_days"": 3, ""learning_rate"": 0.01, ""weight_decay"": 0.0001}",0.01,0.2,3,0.0001,0.3289,0.0743,0.3367,0.1071,0.2085
"{""dropout"": 0.3, ""encoder_days"": 7, ""learning_rate"": 0.005, ""weight_decay"": 0.0001}",0.005,0.3,7,0.0001,0.3253,0.0991,0.3341,0.1072,0.2087
"{""dropout"": 0.2, ""encoder_days"": 3, ""learning_rate"": 0.005, ""weight_decay"": 0.0001}",0.005,0.2,3,0.0001,0.3296,0.1079,0.3384,0.1072,0.2086
"{""dropout"": 0.3, ""encoder_days"": 5, ""learning_rate"": 0.005, ""weight_decay"": 0.0001}",0.005,0.3,5,0.0001,0.3279,0.0905,0.3365,0.1077,0.2097
"{""dropout"": 0.2, ""encoder_days"": 5, ""learning_rate"": 0.005, ""weight_decay"": 0.0001}",0.005,0.2,5,0.0001,0.3318,0.1224,0.3402,0.1099,0.214
"{""dropout"": 0.2, ""encoder_days"": 7, ""learning_rate"": 0.005, ""weight_decay"": 0.0001}",0.005,0.2,7,0.0001,0.3352,0.1117,0.3446,0.1106,0.2152
"{""dropout"": 0.3, ""encoder_days"": 5, ""learning_rate"": 0.01, ""weight_decay"": 0.0001}",0.01,0.3,5,0.0001,0.3438,0.1442,0.3516,0.1133,0.2205
"{""dropout"": 0.3, ""encoder_days"": 7, ""learning_rate"": 0.01, ""weight_decay"": 0.001}",0.01,0.3,7,0.001,0.3598,0.0794,0.3677,0.1175,0.2288
"{""dropout"": 0.2, ""encoder_days"": 3, ""learning_rate"": 0.01, ""weight_decay"": 0.001}",0.01,0.2,3,0.001,0.3626,0.0893,0.3717,0.1193,0.2322
"{""dropout"": 0.2, ""encoder_days"": 7, ""learning_rate"": 0.01, ""weight_decay"": 0.001}",0.01,0.2,7,0.001,0.3687,0.0973,0.3769,0.1195,0.2326
"{""dropout"": 0.2, ""encoder_days"": 3, ""learning_rate"": 0.005, ""weight_decay"": 0.001}",0.005,0.2,3,0.001,0.3756,0.1633,0.386,0.123,0.2393
"{""dropout"": 0.3, ""encoder_days"": 5, ""learning_rate"": 0.01, ""weight_decay"": 0.001}",0.01,0.3,5,0.001,0.382,0.1384,0.3895,0.1233,0.2399
"{""dropout"": 0.2, ""encoder_days"": 7, ""learning_rate"": 0.005, ""weight_decay"": 0.001}",0.005,0.2,7,0.001,0.3749,0.0873,0.3843,0.1236,0.2406
"{""dropout"": 0.2, ""encoder_days"": 5, ""learning_rate"": 0.005, ""weight_decay"": 0.001}",0.005,0.2,5,0.001,0.3853,0.1285,0.3942,0.1249,0.2431
"{""dropout"": 0.2, ""encoder_days"": 5, ""learning_rate"": 0.01, ""weight_decay"": 0.001}",0.01,0.2,5,0.001,0.3843,0.1464,0.3931,0.1253,0.2438
"{""dropout"": 0.3, ""encoder_days"": 7, ""learning_rate"": 0.005, ""weight_decay"": 0.001}",0.005,0.3,7,0.001,0.3862,0.1461,0.3951,0.1253,0.2439
"{""dropout"": 0.3, ""encoder_days"": 5, ""learning_rate"": 0.005, ""weight_decay"": 0.001}",0.005,0.3,5,0.001,0.3849,0.1215,0.3948,0.1257,0.2447
"{""dropout"": 0.3, ""encoder_days"": 3, ""learning_rate"": 0.01, ""weight_decay"": 0.001}",0.01,0.3,3,0.001,0.3992,0.1486,0.4076,0.1291,0.2512
"{""dropout"": 0.3, ""encoder_days"": 3, ""learning_rate"": 0.005, ""weight_decay"": 0.001}",0.005,0.3,3,0.001,0.3968,0.1347,0.4065,0.1293,0.2517
